election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,島根県,無所属,,,,28
h26-12-14,島根県,__TOTAL__,334822,,334822,28
h26-12-14,岡山県,諸派,,,,28
h26-12-14,岡山県,無所属,,,,28
h26-12-14,岡山県,__TOTAL__,680905,88404,769309,28
h26-12-14,広島県,諸派,,,,28
h26-12-14,広島県,無所属,89756,,89756,28
h26-12-14,広島県,__TOTAL__,1037618,81966,1119584,28
h26-12-14,山口県,諸派,,,,28
h26-12-14,山口県,無所属,,14018,14018,28
h26-12-14,山口県,__TOTAL__,579769.997,30908,610677.997,28
h26-12-14,徳島県,諸派,,,,28
h26-12-14,徳島県,無所属,,,,28
h26-12-14,徳島県,__TOTAL__,293105,,293105,28
h26-12-14,香川県,諸派,,,,28
h26-12-14,香川県,無所属,,,,28
h26-12-14,香川県,__TOTAL__,402781,,402781,28
h26-12-14,愛媛県,諸派,,,,28
h26-12-14,愛媛県,無所属,30277,,30277,28
h26-12-14,愛媛県,__TOTAL__,478492.997,94730,573222.997,28
h26-12-14,高知県,諸派,,,,28
h26-12-14,高知県,無所属,3505,,3505,28
h26-12-14,高知県,__TOTAL__,306954,,306954,28
h26-12-14,福岡県,諸派,4883,,4883,28
h26-12-14,福岡県,無所属,112881,6764,119645,28
h26-12-14,福岡県,__TOTAL__,1708719,215098,1923817,28
h26-12-14,佐賀県,諸派,,,,28
h26-12-14,佐賀県,無所属,,,,28
h26-12-14,佐賀県,__TOTAL__,377264,8812,386076,28
h26-12-14,長崎県,諸派,,,,28
h26-12-14,長崎県,無所属,2268,,2268,28
h26-12-14,長崎県,__TOTAL__,566960,,566960,28
h26-12-14,熊本県,諸派,,,,28
h26-12-14,熊本県,無所属,,,,28
h26-12-14,熊本県,__TOTAL__,629259,66750,696009,28
h26-12-14,大分県,諸派,,,,28
h26-12-14,大分県,無所属,,,,28
h26-12-14,大分県,__TOTAL__,532861,,532861,28
h26-12-14,宮崎県,諸派,,,,28
h26-12-14,宮崎県,無所属,,,,28
h26-12-14,宮崎県,__TOTAL__,444904,,444904,28
h26-12-14,鹿児島県,諸派,,,,28
h26-12-14,鹿児島県,無所属,79003,,79003,28
h26-12-14,鹿児島県,__TOTAL__,675297.987,,675297.987,28
h26-12-14,沖縄県,諸派,,,,28
h26-12-14,沖縄県,無所属,71227,,71227,28
h26-12-14,沖縄県,__TOTAL__,509616,59491,569107,28
h26-12-14,合計,諸派,24642,19084,43726,28
h26-12-14,合計,無所属,1372742,138500.152,1511242.152,28
h26-12-14,合計,__TOTAL__,46761055.806,6178734.152,52939789.958,28
